ticker,hhi_posse,ret_crash,ret_recup,vol_pos_crash,quintil_hhi
LIGT3,0.0145876758253869,-0.578602637967044,1.51813476099207,0.159827223512431,1
LINX3,0.0387736993033517,-0.512016412661196,1.24984984984985,0.150273441354256,3
LLIS3,0.0368618485603256,-0.65235294117647,-0.162436548223351,0.138700922107249,3
LOGG3,0.0284982125597939,-0.306962146406216,0.576463922241271,0.152807835232371,2
LOGN3,0.0387141176258383,-0.372082747522799,0.134642359430347,0.138886068327834,3
LPSB3,0.125316094958312,-0.601123610884476,0.402816873117679,0.154217540234836,5
LREN3,0.00726967369386735,-0.414668614523619,0.304993961094606,0.0934815848704395,1
MDIA3,0.0397794455788795,-0.291798350454754,0.186292503626387,0.0831359352541248,3
MEAL3,0.0661552561482724,-0.685057463263533,0.536496358939343,0.183633796447408,4
MGLU3,0.00869786646069893,-0.301254460506051,1.56519642485893,0.119552327168803,1
MILS3,0.0301873425461998,-0.579978266112262,0.59326464089173,0.202589826493157,2
MOAR3,0.219353790912066,-0.19448919504472,0.551655172413794,0.113706292449654,5
MOVI3,0.029075523934926,-0.615676878496856,1.55253403560603,0.122242094553315,2
MRFG3,0.0162775991553073,-0.193254329990884,0.639548022598871,0.184118573072576,1
MRVE3,0.0407849154261096,-0.413512192631614,0.578295123603961,0.111984254599818,3
MULT3,0.0630470769062709,-0.449826945856572,0.256798428533791,0.0787213328990776,4
MYPK3,0.0762170339590044,-0.469860188525116,0.40653351234728,0.107600984332981,4
NEOE3,0.0211546753945923,-0.331908278274388,0.0250145433391509,0.0724849582048341,2
NTCO3,0.00959072635432181,-0.459016393442624,1.03962703962704,0.130652194593483,1
ODPV3,0.0458419071437447,-0.180067950169876,0.00483425414364636,0.0719779632170137,3
OFSA3,0.0818288342710583,-0.465348908220913,0.71630658015317,0.131416588735293,4
OIBR3,0.0244310730749814,-0.489795918367347,3.4,0.253718880060996,2
OMGE3,0.0211260260472539,-0.31536523929471,0.484915378955115,0.0880962064907788,2
PARD3,0.0922703924841868,-0.344027303754266,0.175338189386055,0.128424381178675,4
PETR3,0.0100255572117723,-0.534102162635093,1.06113896531381,0.155563676014716,1
PETR4,0.0079449006813822,-0.508260024871584,1.02577341668229,0.142597421729607,1
PFRM3,0.806974708191362,-0.337442157890996,0.418604775011176,0.136380785777917,5
PNVL3,0.0696166843383515,0.10682932504103,-0.0381466258790778,0.11589769582578,4
POMO3,0.420276279387673,-0.450995367694239,0.1814679562272,0.0956676461087343,5
POMO4,0.0343574489329645,-0.47888212747891,0.170393857778114,0.0945380388192044,3
POSI3,0.810835291410395,-0.533512134552998,0.476165449390679,0.181155957463889,5
PRIO3,0.063239263541932,-0.651575238021785,3.20299417081173,0.263890077516776,4
PSSA3,0.0376251657617105,-0.320732099874604,0.167810270988311,0.0532686189333633,3
PTBL3,0.222736932052601,-0.627090264945525,2.12124045765077,0.0990959968236498,5
QUAL3,0.0265384764865009,-0.430776576012949,0.490377093492016,0.0968475017452341,2
RADL3,0.0100105615510428,-0.179024661332123,0.234644357607821,0.0739960862132719,1
RAIL3,0.0178850926710905,-0.153017375333406,-0.0208649455226545,0.0766338850494377,2
RAPT3,0.10662218945994,-0.551351307835716,1.40443828806047,0.193967027916621,4
RAPT4,0.0271907034367737,-0.599264760111068,2.00359423271988,0.178623323817417,2
RDNI3,0.350394380406885,-0.504950495049505,0.662857142857144,0.113180772352099,5
RENT3,0.00818868088446128,-0.508389971228627,1.63495401468608,0.109122686420919,1
RLOG3,0.029588518531994,-0.191098209966135,0.107057416267943,0.106567315415443,2
ROMI3,0.313515746925179,-0.482780866481162,1.5968863954205,0.173910703919472,5
RPAD3,0.106633358158077,-0.0835865891712153,0.00331674078140343,0.0815251307323827,4
SANB11,0.0223340327387943,-0.354066933599622,0.718205399610934,0.102633429461759,2
SAPR11,0.0246172656067823,-0.294587443877463,0.115059244442549,0.0861754011222063,2
SAPR3,0.289112771910194,-0.33863631878551,0.254860149069799,0.106805918379074,5
SAPR4,0.0444175828066727,-0.275965803999124,0.0779413407990484,0.0881677169949738,3
SBSP3,0.0293127649445958,-0.358852456002774,0.174705105862986,0.152951267346111,2
SCAR3,0.264893685268961,-0.332430474073208,0.287193174975541,0.15426063543895,5
SEER3,0.0138756218527679,-0.505070305801836,0.047221186020356,0.0894448598051475,1
SGPS3,0.256941480210454,-0.615930599369086,0.599589322381931,0.140893135974857,5
SHOW3,0.0913749736759481,-0.611650485436893,0.985000038146973,0.240962320793316,4
SHUL4,0.296596492749546,-0.384745653868656,0.911662621475648,0.084644936891205,5
SLCE3,0.0250584286350087,-0.0035118681507017,0.238920654347989,0.0404287458820597,2
SMLS3,0.0275270556848593,-0.679054054054054,0.898785425101216,0.163934176064762,2
SMTO3,0.0206651385145124,-0.410450698623808,0.896438065070082,0.130788344450507,2
SQIA3,0.151807899941965,-0.375446960667462,0.494910941475827,0.166396575054187,5
STBP3,0.0475104808191982,-0.404255319148936,0.171875,0.165437796418535,3
SULA11,0.0129039632207238,-0.463492063492063,0.312130177514794,0.13359799448622,1
SUZB3,0.0355345334938729,-0.0978068878555361,0.635652295765974,0.0964458597168445,3
TAEE11,0.0354910290661541,-0.173787329940753,0.444613069019396,0.0748554384829672,3
TASA4,0.12463822575413,-0.382303915184134,3.18918943696116,0.304944715423636,5
TCSA3,0.0549415800658226,-0.595628393230684,0.349999951671911,0.259775770030961,4
TECN3,0.207715150300844,-0.563176884916426,0.0743802419269233,0.151895955093047,5
TEND3,0.0316902175116219,-0.42370042736398,0.487656149800346,0.103363495263236,3
TESA3,0.1317874615069,-0.409969481180061,1.24224137931034,0.24369387951692,5
TGMA3,0.0736943759213997,-0.479496786832407,0.321561489620201,0.151230426391038,4
TIET11,0.0359165979407794,-0.139672131147542,0.259908536585366,0.0750397906076681,3
TIET3,0.396597354149583,-0.158038147138964,0.0841423948220068,0.070994606853691,5
TIET4,0.324175900063228,-0.140893470790378,0.332,0.0729697653183912,5
