ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
SBSP3,201911,1,0.251209536300938,0.646298325440655,74
SEER3,201911,1,0.136742460120799,0.331994000812632,74
SMTO3,201911,1,0.180067592926782,0.469104849474292,74
SULA11,201911,1,0.266204157017464,0.693064256286682,74
TIMP3,201911,1,0.278734063034894,0.731837163981051,74
TOTS3,201911,1,0.245952359799634,0.621350463826504,74
TRIS3,201911,1,0.152729260950493,0.37156128310383,74
UGPA3,201911,1,0.261399364019312,0.683355920755954,74
USIM5,201911,1,0.180243966751687,0.449057432858245,74
VALE3,201911,1,0.386154610757228,1,74
VIVA3,201911,1,0.268777799761191,0.687713511730571,74
VIVT4,201911,1,0.182010611239382,0.488056639354255,74
VVAR3,201911,1,0.238925863971215,0.58865114301554,74
WEGE3,201911,1,0.226832179943355,0.593404954013089,74
YDUQ3,201911,1,0.203987956417156,0.501327835275646,74
ABEV3,201912,1,0.191194416789258,0.482821024035632,74
ALSO3,201912,1,0.251758413825936,0.626254806627039,74
ALUP11,201912,1,0.116716223096465,0.265767748648572,74
AMAR3,201912,1,0.184597963517509,0.441234026790329,74
AZUL4,201912,1,0.265057642537428,0.693119927046707,74
B3SA3,201912,1,0.373302106093198,0.946133831171796,74
BBAS3,201912,1,0.366328710031697,0.922348717123237,74
BBDC3,201912,1,0.227710343635051,0.587140375975802,74
BBDC4,201912,1,0.340509488202515,0.85481548569887,74
BBSE3,201912,1,0.172813211833763,0.435979057738101,74
BMGB4,201912,1,0.169351508221975,0.407798503884244,74
BPAC11,201912,1,0.315365001333318,0.816193487304964,74
BPAN4,201912,1,0.153304361914327,0.352906723647018,74
BRAP4,201912,1,0.286780054227482,0.749265448547324,74
BRDT3,201912,1,0.353374215953886,0.899506012905919,74
BRPR3,201912,1,0.284452703501776,0.719797722769947,74
BTOW3,201912,1,0.282201533274751,0.738487049427959,74
CESP6,201912,1,0.301821699370897,0.777760662588966,74
CMIG4,201912,1,0.257179350675783,0.67036370762289,74
COGN3,201912,1,0.246613610524155,0.611258192529057,74
CPFE3,201912,1,0.252318058859941,0.645013890400669,74
CPLE6,201912,1,0.179077254775068,0.431638105615046,74
CRFB3,201912,1,0.20714329115583,0.522532950024,74
CSMG3,201912,1,0.278636512361517,0.716557582715724,74
CSNA3,201912,1,0.176224473069964,0.445764461555928,74
CVCB3,201912,1,0.222236839365527,0.523276585334117,74
CYRE3,201912,1,0.222999051526284,0.570472805474631,74
ELET3,201912,1,0.267497661355536,0.670026621903333,74
ELET6,201912,1,0.272862367458767,0.691818258647439,74
EMBR3,201912,1,0.25871255571611,0.656640695027559,74
ENBR3,201912,1,0.252441520517956,0.620998775989948,74
EQTL3,201912,1,0.225896932571408,0.583658022019575,74
EVEN3,201912,1,0.156328032900793,0.359784135062797,74
GGBR4,201912,1,0.355392197636443,0.9101273940668,74
GNDI3,201912,1,0.318942312470739,0.810298362988264,74
GOLL4,201912,1,0.21926070710326,0.52437893561397,74
HAPV3,201912,1,0.311725406592335,0.806701841966992,74
IGTA3,201912,1,0.189089902036861,0.488880458391188,74
ITSA4,201912,1,0.305483450665234,0.77616465042656,74
ITUB4,201912,1,0.312586177092845,0.789708427401489,74
JBSS3,201912,1,0.329213668501438,0.807746586218044,74
LAME4,201912,1,0.330898621232136,0.853363557675948,74
LCAM3,201912,1,0.234064677776742,0.563216455120786,74
LIGT3,201912,1,0.209243842628632,0.513723983714441,74
LREN3,201912,1,0.331038864701378,0.849886660011967,74
MGLU3,201912,1,0.304487426880984,0.753855425551741,74
MRFG3,201912,1,0.242437111801701,0.602776913803002,74
NEOE3,201912,1,0.29049567489075,0.746516095620911,74
NTCO3,201912,1,0.266068870897703,0.668841982784825,74
OIBR3,201912,1,0.130778944776575,0.308968502897537,74
OMGE3,201912,1,0.181376983627202,0.471562750756822,74
PCAR4,201912,1,0.156095941184683,0.391815335082611,74
PETR3,201912,1,0.308305991327199,0.798287293774822,74
PETR4,201912,1,0.37345088481869,0.963361500967937,74
RADL3,201912,1,0.279262429365509,0.699351622974721,74
RAIL3,201912,1,0.244856258284328,0.629078797734727,74
RENT3,201912,1,0.302112152096661,0.76917841388215,74
SANB11,201912,1,0.194726162934021,0.496407908832349,74
SAPR11,201912,1,0.141041113410794,0.322994961294997,74
SEER3,201912,1,0.170990475714485,0.399958967712347,74
SLCE3,201912,1,0.118171994810504,0.270283077271004,74
SMTO3,201912,1,0.212931002078123,0.544426158493164,74
SULA11,201912,1,0.287111429390869,0.738019991138734,74
TIMP3,201912,1,0.308372854789849,0.806473667908902,74
TOTS3,201912,1,0.247265819545138,0.613497113078603,74
TRIS3,201912,1,0.147212643931564,0.337266464529551,74
UGPA3,201912,1,0.245737524857728,0.637883819468575,74
USIM5,201912,1,0.210211719418239,0.509220264766341,74
VALE3,201912,1,0.401059230855757,1,74
VIVA3,201912,1,0.26369146674491,0.670377065836218,74
