setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
Construcao e Imobiliario,201810,5117725426.70089,1247,21,116108798282.466,0.0440769821271482,0.0419186303576068,0.0422314501508576,0.00215835176954136,0.00184553197629053
Construcao e Imobiliario,201811,5532888097.17412,1246,20,131193687159.846,0.0421734324032898,0.0440769821271482,0.0442709540412884,-0.0019035497238584,-0.0020975216379986
Construcao e Imobiliario,201812,6250852597.20827,1268,21,140270231627.397,0.0445629305996482,0.0421734324032898,0.0419186303576068,0.00238949819635841,0.00264430024204137
Construcao e Imobiliario,201901,6803772566.41758,1271,22,142316178989.126,0.0478074426586272,0.0445629305996482,0.0440769821271482,0.00324451205897899,0.003730460531479
Construcao e Imobiliario,201902,7366499143.34203,1280,22,160744912098.041,0.0458272616358089,0.0478074426586272,0.0421734324032898,-0.00198018102281829,0.00365382923251911
Construcao e Imobiliario,201903,7497880187.43665,1259,22,162201074038.707,0.0462258356294692,0.0458272616358089,0.0445629305996482,0.00039857399366032,0.00166290502982103
Construcao e Imobiliario,201904,7601027334.40665,1249,21,162912423696.299,0.04665713738675,0.0462258356294692,0.0478074426586272,0.000431301757280809,-0.00115030527187716
Construcao e Imobiliario,201905,8225069831.60536,1245,21,164994815118.071,0.0498504745480606,0.04665713738675,0.0458272616358089,0.00319333716131057,0.0040232129122517
Construcao e Imobiliario,201906,9490507981.80108,1255,21,181024072690.824,0.0524267730845398,0.0498504745480606,0.0462258356294692,0.00257629853647917,0.00620093745507055
Construcao e Imobiliario,201907,11139403466.3398,1309,21,189109026939.336,0.0589046628107987,0.0524267730845398,0.04665713738675,0.00647788972625894,0.0122475254240487
Construcao e Imobiliario,201908,11019977125.645,1312,22,194213307753.444,0.056741617004098,0.0589046628107987,0.0498504745480606,-0.00216304580670067,0.00689114245603745
Construcao e Imobiliario,201909,12811376066.4963,1326,20,207052548171.914,0.0618749983016827,0.056741617004098,0.0524267730845398,0.00513338129758472,0.009448225217143
Construcao e Imobiliario,201910,14139110436.3085,1335,20,220895558360.9,0.0640081246595641,0.0618749983016827,0.0589046628107987,0.00213312635788132,0.00510346184876537
Construcao e Imobiliario,201911,15367987144.4835,1332,20,224375513401.092,0.0684922650940605,0.0640081246595641,0.056741617004098,0.00448414043449641,0.0117506480899625
