ticker,ym,n_fundos,n_fundos_com_churn,frag_laum_medio,frag_flow_medio,frag_cotistas_medio,frag_exit_rate_medio
CEBR3,202303,238,236,20.8331653768718,-0.00958090840712424,2.94658143523861,0.0516677423058277
UCAS3,202303,159,152,20.7018198313668,-0.0127644186933698,2.18665098754405,0.0365051963221246
CEBR6,202303,256,252,21.1338909805471,6.6645329890074e-05,2.03522401733208,0.0577095399253209
CLSC4,202303,300,295,21.5240608408419,-0.00660278360959952,2.19243178144771,0.0246794050490978
ITSA4,202303,13122,12953,20.1642862570095,-0.0208922128926674,2.86471621343362,0.0861117581640229
ALUP11,202303,3840,3789,19.6772084041486,-0.0397029158538809,3.16965533139341,0.0770680677762173
CPLE11,202303,2598,2578,20.5536744756317,-0.0154709044876802,2.15298561962182,0.0598992322419271
EQPA3,202303,2052,2034,20.3453000224831,-0.0170370468159413,3.04377908429689,0.0944945125194843
CPFE3,202303,5980,5893,20.0159434219266,-0.0153204804407365,2.84414592699483,0.144433134965148
CLSC3,202303,12,12,22.2040106880297,-0.00115093224007306,2.23348980775579,0.00840675392189681
CEBR5,202303,302,298,20.1895201419651,0.0108196614727901,2.9890108313323,0.0745962289793996
RECV3,202303,8307,8180,20.3307155796387,-0.0170427100091867,2.87666662183488,0.0817946465981893
PORT3,202303,1926,1910,20.3640918044129,-0.00535183599706062,2.66031289164226,0.0620835873312176
FIQE3,202303,547,540,20.084945260102,-0.00277129605673484,1.69290180426156,0.042878030196387
YDUQ3,202303,2798,2769,19.9704422760341,-0.0261422664371163,2.77978570085616,0.0824652281693485
VBBR3,202303,9877,9756,20.4434001623631,-0.0266857066261607,2.88730967986512,0.0972845298755045
TEND3,202303,3134,3097,19.4987382402348,-0.011364832817362,2.39974470949811,0.0906889496724503
SUZB3,202303,9208,9073,20.5173246336318,-0.0179474079405182,2.84807305609559,0.0902991730608872
SIMH3,202303,5676,5585,19.0771865175376,-0.0174318203603736,3.49259415705686,0.119599723949759
SCAR3,202303,2654,2624,20.0959146937421,-0.00405131332297449,2.4691642498969,0.0500719452814533
RDOR3,202303,10555,10441,22.0417751625191,-0.0065593966225144,1.8762014190335,0.0791374209192261
RAIL3,202303,8901,8801,20.0944538149681,-0.0193560844640188,2.92280928398348,0.101026362266276
PRIO3,202303,10227,10071,20.1879743165504,-0.0229775167894713,2.99755656077518,0.138590705220788
PETZ3,202303,5119,5054,19.9982360046266,-0.0165993101525897,2.82291437931712,0.0481247043818261
NTCO3,202303,9482,9351,20.4586478780397,-0.0184344121276996,2.86524676268897,0.0865519220650123
NINJ3,202303,4697,4650,19.6930464860508,-0.0176443285843727,2.70015639329771,0.10520790898279
MRVE3,202303,7405,7330,19.887000479115,-0.0258988583505865,2.94804212202239,0.110310361102347
MOVI3,202303,1856,1832,18.9952366374508,-0.0161405605074068,2.78616701896501,0.148005540141462
LWSA3,202303,6086,6024,19.9259379654452,-0.0280732829193894,3.33953319064616,0.0618435295990916
LREN3,202303,14245,14066,19.8625439291723,-0.0295737246438751,2.98630778946604,0.0886983217128189
HAPV3,202303,9553,9433,20.1204445356349,-0.0230919902856796,2.82080373034694,0.0837541976230054
FLRY3,202303,4002,3966,20.0994399667094,-0.0167066319411711,2.71822393437379,0.0686535406941145
ENJU3,202303,6073,6006,19.8143826365819,-0.018031117865685,2.88735313423619,0.0630362934820776
